ID,Priority,Category,Task,Status,Risk,Owner,Notes
S-01,Critical,Security,JWT 만료 시간 미설정,Not Started,탈취된 토큰 무기한 사용 → 계정 탈취,D,"Access 15분, Refresh 7일 권장"
S-02,Critical,Security,Refresh Token Rotation 미구현,Not Started,토큰 유출 시 복구 불가,D,Refresh 사용 시 이전 토큰 무효화
S-03,Critical,Security,OAuth 콜백 URL 화이트리스트 미설정,Not Started,피싱·리다이렉트 공격 가능,D,Supabase 대시보드에서 프로덕션/개발 도메인만 등록
S-04,Critical,Security,localStorage 기반 세션 XSS 취약,Partial,XSS 발생 시 세션 탈취,C+D,Supabase Auth SDK 기본 세션 관리로 전환 중
S-05,Critical,Security,Admin role 서버 측 미검증,Not Started,일반 사용자가 관리자 기능 접근 가능,D,RLS/미들웨어에서 role 검증 필수. 클라이언트 체크는 UX용만
S-06,Critical,Security,Lemonsqueezy 웹훅 서명 검증 미구현,Not Started,가짜 웹훅으로 무료 라이선스 발급 가능,D,HMAC X-Signature 헤더 검증 필수
S-07,Critical,Security,결제 상태 클라이언트 변조 방지 미구현,Not Started,사용자가 자신의 플랜을 Pro로 조작 가능,D,"RLS로 subscriptions UPDATE 차단, 웹훅에서만 변경"
S-08,Critical,Security,구독 만료 후 서버 측 접근 차단 미구현,Not Started,만료된 구독자가 다운로드 계속,D,다운로드 API에서 expires_at 서버 측 체크
S-09,Critical,Security,RLS(Row Level Security) 정책 미설정,Not Started,타 사용자 데이터 노출 → GDPR 중대 위반,D,"모든 테이블에 RLS 활성화, 본인 데이터만 접근"
S-10,Critical,Security,서버 측 입력 검증 미구현,Not Started,"SQL Injection, 잘못된 데이터 저장",D,"이메일 형식, 문자열 길이, 숫자 범위 검증"
B-01,Critical,Backend,서버 기술 스택 결정 미완료,In Progress,개발 착수 자체가 불가,A→Captain,"2026-04-19 A가 3안 비교 리포트 작성 → 1안 Supabase 추천. docs/analysis/backend-stack-comparison.md 참조"
B-02,Critical,Backend,DB 스키마 설계 미완료,Not Started,데이터 저장 불가,D,"users, subscriptions, license_keys, themes, downloads, payments"
B-03,Critical,Backend,인증 시스템 미구현,Not Started,회원가입/로그인 불가,D,GitHub/Google OAuth + 이메일 인증 API
